city_id,zone_id,date,pm25,pm10,no2,pollution_trend_3days,humidity,wind_speed,rainfall_last_3_days,water_quality_index,reservoir_level,violations_last_7_days,avg_violation_severity,repeat_offender_rate,population_density,industrial_density,green_cover_percentage,drainage_quality_index,social_vulnerability_index,risk_score,pm25_lag1,pm25_lag2,pm25_lag3,risk_score_lag1,risk_score_lag2,risk_score_lag3,violations_last_7_days_lag1,violations_last_7_days_lag2,violations_last_7_days_lag3,pm25_7day_avg,pm25_t1,risk_t1,pm25_t3,risk_t3,pm25_t7,risk_t7,high_risk_zone
Delhi,Central_Delhi,2025-01-07,180,218,43,0,50,5,11,65,38,2,4.83,0.71,15728,0.62,27,0.79,0.46,18.9,122.0,195.0,175.0,18.44,21.3,22.8,8.0,0.0,4.0,175.42857142857142,150.0,22.44,94.0,20.62,210.0,21.36,0
Delhi,Central_Delhi,2025-01-08,150,267,38,-1,70,4,9,55,55,11,2.73,0.15,10176,0.33,28,0.37,0.51,22.44,180.0,122.0,195.0,18.9,18.44,21.3,2.0,8.0,0.0,170.0,181.0,20.76,181.0,20.86,212.0,21.76,0
Delhi,Central_Delhi,2025-01-09,181,236,37,1,41,5,10,70,43,1,1.82,0.77,8027,0.47,12,0.55,0.69,20.76,150.0,180.0,122.0,22.44,18.9,18.44,11.0,2.0,8.0,165.28571428571428,94.0,20.62,173.0,23.94,219.0,19.98,0
Delhi,Central_Delhi,2025-01-10,94,266,55,0,51,7,14,71,32,8,1.7,0.51,13876,0.67,24,0.7,0.7,20.62,181.0,150.0,180.0,20.76,22.44,18.9,1.0,11.0,2.0,156.71428571428572,181.0,20.86,170.0,24.66,202.0,24.78,0
Delhi,Central_Delhi,2025-01-11,181,186,57,-1,61,5,13,76,75,3,2.38,0.63,8765,0.58,25,0.61,0.76,20.86,94.0,181.0,150.0,20.62,20.76,22.44,8.0,1.0,11.0,157.57142857142858,173.0,23.94,210.0,21.36,217.0,24.04,0
Delhi,Central_Delhi,2025-01-12,173,200,50,-1,68,4,2,57,77,9,3.85,0.71,13825,0.75,11,0.59,0.81,23.94,181.0,94.0,181.0,20.86,20.62,20.76,3.0,8.0,1.0,154.42857142857142,170.0,24.66,212.0,21.76,127.0,17.9,0
Delhi,Central_Delhi,2025-01-13,170,296,63,1,80,2,11,41,70,11,3.82,0.16,11886,0.52,18,0.48,0.5,24.66,173.0,181.0,94.0,23.94,20.86,20.62,9.0,3.0,8.0,161.28571428571428,210.0,21.36,219.0,19.98,167.0,22.7,0
Delhi,Central_Delhi,2025-01-14,210,177,44,0,69,1,7,52,74,2,2.17,0.77,10539,0.9,7,0.74,0.67,21.36,170.0,173.0,181.0,24.66,23.94,20.86,11.0,9.0,3.0,165.57142857142858,212.0,21.76,202.0,24.78,203.0,22.8,0
Delhi,Central_Delhi,2025-01-15,212,229,68,-1,59,1,16,45,55,0,1.51,0.76,14770,0.3,8,0.71,0.61,21.76,210.0,170.0,173.0,21.36,24.66,23.94,2.0,11.0,9.0,174.42857142857142,219.0,19.98,217.0,24.04,168.0,22.5,0
Delhi,Central_Delhi,2025-01-16,219,227,38,-1,61,3,18,73,72,0,2.54,0.17,14481,0.53,18,0.65,0.44,19.98,212.0,210.0,170.0,21.76,21.36,24.66,0.0,2.0,11.0,179.85714285714286,202.0,24.78,127.0,17.9,173.0,22.98,0
