city_id,zone_id,date,pm25,pm10,no2,pollution_trend_3days,humidity,wind_speed,rainfall_last_3_days,water_quality_index,reservoir_level,violations_last_7_days,avg_violation_severity,repeat_offender_rate,population_density,industrial_density,green_cover_percentage,drainage_quality_index,social_vulnerability_index,risk_score
Delhi,North_Delhi,2025-01-01,205,207,30,-1,66,7,13,66,69,7,1.88,0.4,14730,0.57,8,0.51,0.38,21.7
Delhi,South_Delhi,2025-01-01,162,199,34,1,75,4,3,48,32,1,4.95,0.54,11615,0.48,6,0.45,0.52,18.42
Delhi,East_Delhi,2025-01-01,173,236,31,0,71,2,0,73,72,3,2.33,0.34,14429,0.85,14,0.38,0.36,19.06
Delhi,West_Delhi,2025-01-01,206,215,42,-1,61,6,19,42,65,6,4.79,0.59,15253,0.39,12,0.66,0.61,22.96
Delhi,Central_Delhi,2025-01-01,188,224,45,-1,59,5,11,58,76,0,3.32,0.52,12469,0.53,29,0.44,0.48,18.62
Delhi,North_East_Delhi,2025-01-01,111,195,68,-1,42,6,15,63,37,6,1.71,0.22,13243,0.34,20,0.72,0.35,17.4
Delhi,North_West_Delhi,2025-01-01,177,220,68,1,43,3,11,60,71,10,3.06,0.73,14704,0.45,24,0.57,0.83,24.86
Delhi,South_East_Delhi,2025-01-01,109,298,57,0,45,3,11,72,34,5,2.5,0.79,10075,0.83,21,0.6,0.45,19.32
Delhi,South_West_Delhi,2025-01-01,143,282,39,1,44,6,13,50,55,6,4.28,0.44,13600,0.53,28,0.55,0.8,22.22
Delhi,Shahdara,2025-01-01,95,198,45,-1,83,4,11,44,79,4,1.84,0.48,11615,0.34,11,0.34,0.4,16.22
Delhi,North_Delhi,2025-01-02,196,274,49,-1,55,3,18,73,65,5,2.29,0.78,14142,0.5,24,0.63,0.41,21.8
Delhi,South_Delhi,2025-01-02,185,293,51,1,51,4,3,71,40,4,3.34,0.15,14154,0.83,16,0.41,0.46,22
Delhi,East_Delhi,2025-01-02,183,291,35,0,83,1,3,64,68,7,3.13,0.17,8453,0.36,20,0.42,0.71,24.1
Delhi,West_Delhi,2025-01-02,128,177,47,-1,62,3,14,55,60,5,2.5,0.58,11505,0.75,13,0.63,0.55,18.38
Delhi,Central_Delhi,2025-01-02,214,231,31,-1,57,1,16,70,69,1,3.13,0.69,8432,0.44,13,0.5,0.86,22.84
Delhi,North_East_Delhi,2025-01-02,81,267,48,0,58,2,9,70,65,2,4.51,0.28,15295,0.33,6,0.54,0.52,17.22
Delhi,North_West_Delhi,2025-01-02,125,235,44,1,78,6,1,69,66,8,2.78,0.22,11807,0.78,12,0.43,0.64,21.14
Delhi,South_East_Delhi,2025-01-02,129,150,53,1,52,6,1,40,77,5,2.32,0.62,14367,0.43,18,0.51,0.69,18.64
Delhi,South_West_Delhi,2025-01-02,97,288,43,1,54,2,10,61,32,10,2.47,0.11,9602,0.69,12,0.66,0.44,20.66
Delhi,Shahdara,2025-01-02,172,226,58,0,53,4,3,58,49,11,3.92,0.17,12981,0.85,7,0.59,0.7,24.88
Delhi,North_Delhi,2025-01-03,156,154,56,-1,73,1,5,68,68,10,1.86,0.17,15780,0.85,9,0.33,0.31,19.94
Delhi,South_Delhi,2025-01-03,121,244,68,0,67,4,11,75,44,9,3.26,0.62,8388,0.41,14,0.68,0.42,20.64
Delhi,East_Delhi,2025-01-03,202,286,49,-1,43,6,12,44,44,9,4.11,0.63,8994,0.84,6,0.64,0.31,24
Delhi,West_Delhi,2025-01-03,206,174,68,1,81,3,13,61,69,5,4.07,0.7,14909,0.69,10,0.36,0.86,23.84
